,city,state,citystate,lat,lon
416,Long Prairie,MN,"Long Prairie, MN",45.9746867,-94.86557750000001
417,Blaine,MN,"Blaine, MN",45.1607987,-93.23494889999999
418,Faribault,MN,"Faribault, MN",44.2949636,-93.268827
419,Aitkin,MN,"Aitkin, MN",46.5330129,-93.7102493
420,Morris,MN,"Morris, MN",45.5919444,-95.9188889
421,Crookston,MN,"Crookston, MN",47.7745617,-96.6093911
422,Westbrook,MN,"Westbrook, MN",44.0421825,-95.43611279999999
423,Lindstrom,MN,"Lindstrom, MN",45.3894083,-92.8479921
424,Mankato,MN,"Mankato, MN",44.1635775,-93.99939959999999
425,Chanhassen,MN,"Chanhassen, MN",44.86196450000001,-93.53231029999999
426,Forest Lake,MN,"Forest Lake, MN",45.2788561,-92.9852183
427,Cannon Falls,MN,"Cannon Falls, MN",44.5069113,-92.905484
428,Stillwater,MN,"Stillwater, MN",45.056004,-92.80884429999999
429,Winsted,MN,"Winsted, MN",44.9638517,-94.0474725
430,Ely,MN,"Ely, MN",47.9032372,-91.8670873
431,Grand Marias,MN,"Grand Marias, MN",47.7504469,-90.3342727
432,Shakopee,MN,"Shakopee, MN",44.7973962,-93.5272861
433,Annandale,MN,"Annandale, MN",45.2611111,-94.12416669999999
434,Clarissa,MN,"Clarissa, MN",46.1302414,-94.94863559999999
435,Minnetonka,MN,"Minnetonka, MN",44.9211836,-93.4687489
436,Woodbury,MN,"Woodbury, MN",44.9238552,-92.9593797
437,Blue Earth,MN,"Blue Earth, MN",43.6375818,-94.10239059999999
438,Lakefield,MN,"Lakefield, MN",43.6774593,-95.1716615
439,Kenyon,MN,"Kenyon, MN",44.2721868,-92.985484
440,Willmar,MN,"Willmar, MN",45.1223711,-95.048659
441,Cottage Grove,MN,"Cottage Grove, MN",44.8277446,-92.9438218
442,Hutchinson,MN,"Hutchinson, MN",44.89254830000001,-94.3692926
443,Marshall,MN,"Marshall, MN",44.448423,-95.79119159999999
444,Glenwood,MN,"Glenwood, MN",45.6502392,-95.3900419
445,Hogo,MN,"Hogo, MN",45.159964,-92.99334119999999
446,Preston,MN,"Preston, MN",43.6737553,-92.08368089999999
447,Zumbrota,MN,"Zumbrota, MN",44.294132,-92.6690806
448,New Prague,MN,"New Prague, MN",44.5432966,-93.5760652
449,Albertville,MN,"Albertville, MN",45.2312337,-93.6687657
450,Hibbing,MN,"Hibbing, MN",47.42715459999999,-92.9376887
451,Ann Arbor,MN,"Ann Arbor, MN",44.9529079,-93.1909153
452,Waseca,MN,"Waseca, MN",44.0770411,-93.50838429999999
453,Wadena,MN,"Wadena, MN",46.4424614,-95.1361386
454,Buffalo,MN,"Buffalo, MN",45.1717846,-93.8747929
455,Moose Lake,MN,"Moose Lake, MN",46.4513889,-92.7666667
456,Alexandria,MN,"Alexandria, MN",45.8848164,-95.3776663
457,Herman,MN,"Herman, MN",45.8085718,-96.1433921
458,Little Falls,MN,"Little Falls, MN",45.9805556,-94.36944439999999
459,Ivanhoe,MN,"Ivanhoe, MN",44.4632981,-96.247263
460,Windom,MN,"Windom, MN",43.8727352,-95.11138079999999
461,Savage,MN,"Savage, MN",44.7647329,-93.3591147
462,Fairmont,MN,"Fairmont, MN",43.65217750000001,-94.46108319999999
463,Pine City,MN,"Pine City, MN",45.8229105,-92.9703435
464,Perham,MN,"Perham, MN",46.5953437,-95.5730088
465,Osseo,MN,"Osseo, MN",45.1194091,-93.4024532
466,Maple Lake,MN,"Maple Lake, MN",45.2299207,-94.0038756
467,Coon Rapids,MN,"Coon Rapids, MN",45.1732394,-93.30300629999999
468,Thief River Falls,MN,"Thief River Falls, MN",48.1191353,-96.18114729999999
469,Montevideo,MN,"Montevideo, MN",44.9410447,-95.7236136
470,Howard Lake,MN,"Howard Lake, MN",45.0612665,-94.0742843
471,Prior Lake,MN,"Prior Lake, MN",44.7132969,-93.4227274
472,Sauk Centre,MN,"Sauk Centre, MN",45.737465,-94.9525216
473,Park Rapids,MN,"Park Rapids, MN",46.9221813,-95.05863219999999
474,Sleepy,MN,"Sleepy, MN",44.2980556,-94.7263889
475,Bemidji,MN,"Bemidji, MN",47.471573,-94.8826861
476,Eden Prairie,MN,"Eden Prairie, MN",44.8546856,-93.47078599999999
477,Jordan,MN,"Jordan, MN",44.6711949,-93.6294286
478,Champlin,MN,"Champlin, MN",45.1888539,-93.39745370000001
479,Mora,MN,"Mora, MN",45.8769031,-93.29383519999999
480,Litchfield,MN,"Litchfield, MN",45.1258332,-94.5283333
481,Hastings,MN,"Hastings, MN",44.7443293,-92.8513706
482,Isanti,MN,"Isanti, MN",45.4894008,-93.24760909999999
483,Chaska,MN,"Chaska, MN",44.7893446,-93.60183889999999
484,Isle,MN,"Isle, MN",46.138011,-93.4707923
485,Jackson,MN,"Jackson, MN",43.6207915,-94.9886022
486,Coldwater,MI,"Coldwater, MI",41.9403263,-85.00052149999999
487,Adrian,MI,"Adrian, MI",41.8975471,-84.03716589999999
488,Southfield,MI,"Southfield, MI",42.4733688,-83.2218731
489,Detroit,MI,"Detroit, MI",42.331427,-83.0457538
490,Milan,MI,"Milan, MI",42.0853204,-83.6824384
491,Chelsea,MI,"Chelsea, MI",42.3180919,-84.0205029
492,Ypsilanti,MI,"Ypsilanti, MI",42.2411499,-83.61299389999999
493,Saginaw,MI,"Saginaw, MI",43.4194699,-83.9508068
494,Houghton,MI,"Houghton, MI",47.12113309999999,-88.5694182
495,Lapeer,MI,"Lapeer, MI",43.0514161,-83.31883409999999
496,Pontiac,MI,"Pontiac, MI",42.6389216,-83.29104679999999
497,Battle Creek,MI,"Battle Creek, MI",42.3211522,-85.17971419999999
498,Howell,MI,"Howell, MI",42.6072552,-83.9293952
499,Bay City,MI,"Bay City, MI",43.5944677,-83.8888647
500,Petoskey,MI,"Petoskey, MI",45.3733428,-84.9553296
501,Belleville,MI,"Belleville, MI",42.2047619,-83.4852133
502,Kalamazoo,MI,"Kalamazoo, MI",42.2917069,-85.5872286
503,Owosso,MI,"Owosso, MI",42.9978049,-84.1766358
504,Muskegon,MI,"Muskegon, MI",43.2341813,-86.24839209999999
505,Monroe,MI,"Monroe, MI",41.9164343,-83.3977101
506,Gaylord,MI,"Gaylord, MI",45.0275126,-84.6747523
507,Whitehall,MI,"Whitehall, MI",43.4100107,-86.34867919999999
508,Portland,MI,"Portland, MI",42.8672048,-84.9100792
509,Grand Haven,MI,"Grand Haven, MI",43.0630734,-86.22838639999999
510,Dexter,MI,"Dexter, MI",42.33836970000001,-83.8885552
511,Grosse Ile,MI,"Grosse Ile, MI",42.1290753,-83.1445904
512,Marquette,MI,"Marquette, MI",46.5475825,-87.39559539999999
513,Grand Rapids,MI,"Grand Rapids, MI",42.9633599,-85.6680863
514,Dearborn,MI,"Dearborn, MI",42.3222599,-83.17631449999999
515,Mount Clemens,MI,"Mount Clemens, MI",42.5972563,-82.8779754
516,Niles,MI,"Niles, MI",41.8297694,-86.2541768
517,Williamston,MI,"Williamston, MI",42.6889235,-84.2830245
518,Holland,MI,"Holland, MI",42.7875235,-86.1089301
519,Grayling,MI,"Grayling, MI",44.6614039,-84.7147512
520,Cheboygan,MI,"Cheboygan, MI",45.64695630000001,-84.4744795
521,Lansing,MI,"Lansing, MI",42.732535,-84.5555347
522,Ionia,MI,"Ionia, MI",42.9872547,-85.07111739999999
523,New Baltimore,MI,"New Baltimore, MI",42.6811436,-82.7368616
524,Sault Ste. Marie,MI,"Sault Ste. Marie, MI",46.49771150000001,-84.3475876
525,Southgate,MI,"Southgate, MI",42.2139284,-83.19381469999999
526,Cadillac,MI,"Cadillac, MI",44.2519526,-85.40116189999999
527,Midland,MI,"Midland, MI",43.6155825,-84.2472116
528,Saline,MI,"Saline, MI",42.1667072,-83.7816075
529,Greenville,MI,"Greenville, MI",43.1775314,-85.2527987
530,Dowagiac,MI,"Dowagiac, MI",41.9842123,-86.10862279999999
531,Bad Axe,MI,"Bad Axe, MI",43.8019592,-83.00077739999999
532,Marlette,MI,"Marlette, MI",43.3269685,-83.08022
533,East Lansing,MI,"East Lansing, MI",42.7369792,-84.48386540000001
534,Flint,MI,"Flint, MI",43.0125274,-83.6874562
535,Hart,MI,"Hart, MI",43.6983407,-86.3639652
536,Port Huron,MI,"Port Huron, MI",42.9708634,-82.42491419999999
537,St Joseph,MI,"St Joseph, MI",42.0938577,-86.4895463
538,Manchester,MI,"Manchester, MI",42.1503177,-84.037723
539,Traverse City,MI,"Traverse City, MI",44.7630567,-85.62063169999999
540,Sturgis,MI,"Sturgis, MI",41.799217,-85.41914820000001
541,Houghton Lake,MI,"Houghton Lake, MI",44.314739,-84.7647496
542,Fenton,MI,"Fenton, MI",42.7978061,-83.7049498
543,Jackson,MI,"Jackson, MI",42.245869,-84.40134619999999
544,Ada,OK,"Ada, OK",34.774531,-96.6783449
545,Claremore,OK,"Claremore, OK",36.3125963,-95.61609
546,El Reno,OK,"El Reno, OK",35.5322741,-97.9550493
547,Ponca City,OK,"Ponca City, OK",36.706981,-97.0855948
548,Poteau,OK,"Poteau, OK",35.0537094,-94.6235579
549,Bartlesville,OK,"Bartlesville, OK",36.7473114,-95.98081789999999
550,Enid,OK,"Enid, OK",36.3955891,-97.8783911
551,Norman,OK,"Norman, OK",35.2225668,-97.4394777
552,Hugo,OK,"Hugo, OK",34.01066,-95.50968209999999
553,Shawnee,OK,"Shawnee, OK",35.3272928,-96.9253004
554,Chickasha,OK,"Chickasha, OK",35.052565,-97.93643259999999
555,Altus,OK,"Altus, OK",34.637765,-99.3340442
556,Oklahoma City,OK,"Oklahoma City, OK",35.4675602,-97.5164276
557,Tiffin,OK,"Tiffin, OK",41.1144992,-83.1779746
558,Alliance,OK,"Alliance, OK",36.3074498,-95.3064653
559,Grove,OK,"Grove, OK",36.5936863,-94.76911860000001
560,Stillwater,OK,"Stillwater, OK",36.1156071,-97.0583681
561,Durant,OK,"Durant, OK",33.9924186,-96.39712329999999
562,Woodward,OK,"Woodward, OK",36.4336481,-99.3903862
563,Duncan,OK,"Duncan, OK",34.5023028,-97.9578128
564,Lawton,OK,"Lawton, OK",34.6035669,-98.39592909999999
565,Kingfisher,OK,"Kingfisher, OK",35.861432,-97.9317203
566,Mcalester,OK,"Mcalester, OK",34.9334298,-95.76971309999999
567,Tulsa,OK,"Tulsa, OK",36.1539816,-95.99277500000001
568,Ardmore,OK,"Ardmore, OK",34.1742611,-97.14362539999999
569,Tahlequah,OK,"Tahlequah, OK",35.91537,-94.969956
570,Clinton,OK,"Clinton, OK",35.5156056,-98.9673069
571,Edmond,OK,"Edmond, OK",35.6528323,-97.47809540000002
572,Greensburg,IN,"Greensburg, IN",39.3372722,-85.483581
573,Frankfort,IN,"Frankfort, IN",40.2794809,-86.5108355
574,Goshen,IN,"Goshen, IN",41.5822716,-85.8344383
575,Kendallville,IN,"Kendallville, IN",41.4414384,-85.2649754
576,Rochester,IN,"Rochester, IN",41.0647645,-86.2158331
577,Brazil,IN,"Brazil, IN",39.523652,-87.1250154
578,Jeffersonville,IN,"Jeffersonville, IN",38.2775702,-85.7371847
579,Wakarusa,IN,"Wakarusa, IN",41.5361597,-86.02083340000001
580,Columbus,IN,"Columbus, IN",39.2014404,-85.9213796
581,South Bend,IN,"South Bend, IN",41.6763545,-86.25198979999999
582,Gary,IN,"Gary, IN",41.5933696,-87.3464271
583,Washington,IN,"Washington, IN",38.65921520000001,-87.172789
584,Bedford,IN,"Bedford, IN",38.8611619,-86.4872149
585,Auburn,IN,"Auburn, IN",41.3669942,-85.0588575
586,Decatur,IN,"Decatur, IN",40.830603,-84.9291329
587,Muncie,IN,"Muncie, IN",40.1933767,-85.3863599
588,Connersville,IN,"Connersville, IN",39.6411589,-85.1410748
589,Bluffton,IN,"Bluffton, IN",40.7386579,-85.17163680000002
590,Marion,IN,"Marion, IN",40.5583739,-85.6591442
591,Greencastle,IN,"Greencastle, IN",39.6444898,-86.8647316
592,Indianapolis,IN,"Indianapolis, IN",39.768403,-86.158068
593,Merrillville,IN,"Merrillville, IN",41.4828144,-87.33281389999999
594,Madison,IN,"Madison, IN",38.7358933,-85.37995769999999
595,Bloomington,IN,"Bloomington, IN",39.165325,-86.52638569999999
596,Princeton,IN,"Princeton, IN",38.3553236,-87.5675222
597,Columbia City,IN,"Columbia City, IN",41.15726859999999,-85.4883127
598,Terre Haute,IN,"Terre Haute, IN",39.4667034,-87.41390919999999
599,Laporte,IN,"Laporte, IN",41.611143,-86.7227195
600,New Castle,IN,"New Castle, IN",39.928935,-85.3702476
601,Plymouth,IN,"Plymouth, IN",41.3436554,-86.3097278
602,Versailles,IN,"Versailles, IN",39.0719988,-85.2519035
603,New Albany,IN,"New Albany, IN",38.2856247,-85.8241312
604,Plainfield,IN,"Plainfield, IN",39.70421229999999,-86.39943869999999
605,Huntington,IN,"Huntington, IN",40.8831011,-85.49747599999999
606,Michigan City,IN,"Michigan City, IN",41.70753939999999,-86.8950297
607,Fort Wayne,IN,"Fort Wayne, IN",41.079273,-85.1393513
608,Anderson,IN,"Anderson, IN",40.1053196,-85.6802541
609,Lafayette,IN,"Lafayette, IN",40.4167022,-86.87528689999999
610,Kokomo,IN,"Kokomo, IN",40.486427,-86.13360329999999
611,Zionsville,IN,"Zionsville, IN",39.9508733,-86.261937
612,Peru,IN,"Peru, IN",40.7536528,-86.0688811
613,Logansport,IN,"Logansport, IN",40.7544843,-86.3566659
614,Elkhart,IN,"Elkhart, IN",41.6819935,-85.9766671
615,Crawfordsville,IN,"Crawfordsville, IN",40.0411536,-86.87445160000001
616,Nashville,IN,"Nashville, IN",39.2072501,-86.24695349999999
617,Warsaw,IN,"Warsaw, IN",41.2381,-85.8530469
618,Longmont,CO,"Longmont, CO",40.1672068,-105.1019275
619,Carbondale,CO,"Carbondale, CO",39.4022054,-107.2111628
620,Glenwood Springs,CO,"Glenwood Springs, CO",39.5505376,-107.3247762
621,Bailey,CO,"Bailey, CO",39.4060536,-105.4786412
622,Castle Rock,CO,"Castle Rock, CO",39.3722121,-104.8560902
623,Sterling,CO,"Sterling, CO",40.6255415,-103.207709
624,Fort Collins,CO,"Fort Collins, CO",40.5852602,-105.084423
625,Niwot,CO,"Niwot, CO",40.103874,-105.1708193
626,Paonia,CO,"Paonia, CO",38.8683204,-107.5920017
627,Gunnison Valley,CO,"Gunnison Valley, CO",38.551658,-106.924765
628,Rifle,CO,"Rifle, CO",39.5347023,-107.7831198
629,Estes Park,CO,"Estes Park, CO",40.3772059,-105.5216651
630,Telluride,CO,"Telluride, CO",37.9374939,-107.8122852
631,Durango,CO,"Durango, CO",37.27528,-107.8800667
632,Lyons,CO,"Lyons, CO",40.2247075,-105.271378
633,Lamar,CO,"Lamar, CO",38.0872307,-102.6207496
634,Pueblo,CO,"Pueblo, CO",38.2544472,-104.6091409
635,Eagle,CO,"Eagle, CO",39.6552634,-106.8286507
636,Aspen,CO,"Aspen, CO",39.1910983,-106.8175387
637,Aurora,CO,"Aurora, CO",39.7294319,-104.8319195
638,Montrose,CO,"Montrose, CO",38.4783198,-107.8761738
639,Leadville,CO,"Leadville, CO",39.2508229,-106.2925238
640,La Junta,CO,"La Junta, CO",37.9850091,-103.5438321
641,Bayfield,CO,"Bayfield, CO",37.2255593,-107.5981123
642,Crested Butte,CO,"Crested Butte, CO",38.8697146,-106.9878231
643,Loveland,CO,"Loveland, CO",40.3977612,-105.0749801
644,Cortez,CO,"Cortez, CO",37.3488827,-108.5859265
645,Haxtun,CO,"Haxtun, CO",40.6411022,-102.6268584
646,Greeley,CO,"Greeley, CO",40.4233142,-104.7091322
647,Vail,CO,"Vail, CO",39.6402638,-106.3741955
648,Denver,CO,"Denver, CO",39.7392358,-104.990251
649,Craig,CO,"Craig, CO",40.5152491,-107.5464541
650,Fort Morgan,CO,"Fort Morgan, CO",40.2502582,-103.7999509
651,Boulder,CO,"Boulder, CO",40.0149856,-105.2705456
652,Grand Junction,CO,"Grand Junction, CO",39.0638705,-108.5506486
653,Colorado Springs,CO,"Colorado Springs, CO",38.8338816,-104.8213634
654,Torrance,CA,"Torrance, CA",33.8358492,-118.3406288
655,Galt,CA,"Galt, CA",38.2546373,-121.2999485
656,Calistoga,CA,"Calistoga, CA",38.5787965,-122.5797054
657,Berkeley,CA,"Berkeley, CA",37.8715926,-122.272747
658,Alpine,CA,"Alpine, CA",32.8350521,-116.7664109
659,Santa Rosa,CA,"Santa Rosa, CA",38.440429,-122.7140548
660,San Mateo,CA,"San Mateo, CA",37.5629917,-122.3255254
661,Davis,CA,"Davis, CA",38.5449065,-121.7405167
662,Carmel,CA,"Carmel, CA",36.5552386,-121.9232879
663,Riverside,CA,"Riverside, CA",33.9806005,-117.3754942
664,Sacramento,CA,"Sacramento, CA",38.5815719,-121.4943996
665,West Covina,CA,"West Covina, CA",34.0686208,-117.9389526
666,Santa Paula,CA,"Santa Paula, CA",34.3541659,-119.0592705
667,Hayward,CA,"Hayward, CA",37.6688205,-122.0807964
668,Fairfield,CA,"Fairfield, CA",38.24935809999999,-122.0399663
669,Santa Ana,CA,"Santa Ana, CA",33.7454725,-117.867653
670,Fontana,CA,"Fontana, CA",34.0922335,-117.435048
671,Santa Maria,CA,"Santa Maria, CA",34.9530337,-120.4357191
672,Del Mar,CA,"Del Mar, CA",32.9594891,-117.2653146
673,Lompoc,CA,"Lompoc, CA",34.6391501,-120.4579409
674,Tiburon,CA,"Tiburon, CA",37.8735377,-122.4566392
675,Modesto,CA,"Modesto, CA",37.63909719999999,-120.9968782
676,Vacaville,CA,"Vacaville, CA",38.3565773,-121.9877444
677,Los Altos,CA,"Los Altos, CA",37.3852183,-122.1141298
678,Corona,CA,"Corona, CA",33.8752935,-117.5664384
679,Half Moon Bay,CA,"Half Moon Bay, CA",37.4635519,-122.4285862
680,Los Banos,CA,"Los Banos, CA",37.0582786,-120.8499151
681,Paradise,CA,"Paradise, CA",39.7596061,-121.6219177
682,Ventura,CA,"Ventura, CA",34.2804923,-119.2945199
683,Elk Grove,CA,"Elk Grove, CA",38.4087993,-121.3716178
684,Beverly Hills,CA,"Beverly Hills, CA",34.0736204,-118.4003563
685,Ojai,CA,"Ojai, CA",34.4480495,-119.242889
686,Gonzales,CA,"Gonzales, CA",36.5066295,-121.4443806
687,Porterville,CA,"Porterville, CA",36.06523,-119.0167679
688,Bakersfield,CA,"Bakersfield, CA",35.3732921,-119.0187125
689,San Bernardino,CA,"San Bernardino, CA",34.1083449,-117.2897652
690,South Lake Tahoe,CA,"South Lake Tahoe, CA",38.939926,-119.9771868
691,Folsom,CA,"Folsom, CA",38.6779591,-121.1760583
692,Tracy,CA,"Tracy, CA",37.7396513,-121.4252227
693,Westminister,CA,"Westminister, CA",33.7591757,-117.9897058
694,Idyllwild,CA,"Idyllwild, CA",33.7467471,-116.7152556
695,Eureka,CA,"Eureka, CA",40.8020712,-124.1636729
696,Alturas,CA,"Alturas, CA",41.4871146,-120.5424555
697,Madera,CA,"Madera, CA",36.9613356,-120.0607176
698,Manteca,CA,"Manteca, CA",37.7974273,-121.2160526
699,Fresno,CA,"Fresno, CA",36.7377981,-119.7871247
700,Redding,CA,"Redding, CA",40.5865396,-122.3916754
701,Woodland,CA,"Woodland, CA",38.67851570000001,-121.7732971
702,Vallejo,CA,"Vallejo, CA",38.1040864,-122.2566367
703,Tehachapi,CA,"Tehachapi, CA",35.1321877,-118.4489739
704,Blythe,CA,"Blythe, CA",33.6177725,-114.5882607
705,Salinas,CA,"Salinas, CA",36.6777372,-121.6555013
706,El Centro,CA,"El Centro, CA",32.792,-115.5630514
707,Bolinas,CA,"Bolinas, CA",37.9093702,-122.6863733
708,Palmdale,CA,"Palmdale, CA",34.5794343,-118.1164613
709,Oakhurst,CA,"Oakhurst, CA",37.3279997,-119.6493154
710,Anaheim,CA,"Anaheim, CA",33.8365932,-117.9143012
711,Auburn,CA,"Auburn, CA",38.8965654,-121.0768901
712,Santa Barbara,CA,"Santa Barbara, CA",34.4208305,-119.6981901
713,El Cajon,CA,"El Cajon, CA",32.7947731,-116.9625269
714,Rancho Murieta,CA,"Rancho Murieta, CA",38.5018527,-121.0946669
715,Plumas County,CA,"Plumas County, CA",39.99268319999999,-120.8039474
716,Palm Springs,CA,"Palm Springs, CA",33.8302961,-116.5452921
717,Rohnert Park,CA,"Rohnert Park, CA",38.3396367,-122.7010984
718,San Jose,CA,"San Jose, CA",37.3382082,-121.8863286
719,Marina Del Rey,CA,"Marina Del Rey, CA",33.9802893,-118.4517449
720,Alameda,CA,"Alameda, CA",37.7652065,-122.2416355
721,Emeryville,CA,"Emeryville, CA",37.831316,-122.2852473
722,Redlands,CA,"Redlands, CA",34.0555693,-117.1825381
723,Garberville,CA,"Garberville, CA",40.1000828,-123.7949199
724,Sebastopol,CA,"Sebastopol, CA",38.4021359,-122.8238806
725,Inglewood,CA,"Inglewood, CA",33.9616801,-118.3531311
726,Lake Isabella,CA,"Lake Isabella, CA",35.6180087,-118.473141
727,Fremont,CA,"Fremont, CA",37.5482697,-121.9885719
728,Patterson,CA,"Patterson, CA",37.4716001,-121.129656
729,Arcata,CA,"Arcata, CA",40.8665166,-124.0828396
730,Burney,CA,"Burney, CA",40.8823811,-121.6608205
731,Palo Alto,CA,"Palo Alto, CA",37.4418834,-122.1430195
732,Hermosa Beach,CA,"Hermosa Beach, CA",33.8622366,-118.3995194
733,Ontario,CA,"Ontario, CA",34.0633443,-117.6508876
734,Hollister,CA,"Hollister, CA",36.8524545,-121.4016021
735,Livermore,CA,"Livermore, CA",37.6818745,-121.7680088
736,Marysville,CA,"Marysville, CA",39.1457253,-121.5913547
737,Atwater,CA,"Atwater, CA",37.3477174,-120.609084
738,Fort Bragg,CA,"Fort Bragg, CA",39.445723,-123.8052935
739,Victorville,CA,"Victorville, CA",34.5362184,-117.2927641
740,Costa Mesa,CA,"Costa Mesa, CA",33.6412156,-117.9188221
741,San Leandro,CA,"San Leandro, CA",37.7249296,-122.1560768
742,Crescent City,CA,"Crescent City, CA",41.7557501,-124.2025913
743,Stockton,CA,"Stockton, CA",37.9577016,-121.2907796
744,Santa Clarita,CA,"Santa Clarita, CA",34.3916641,-118.542586
745,Mammoth Lakes,CA,"Mammoth Lakes, CA",37.648546,-118.972079
746,Pasadena,CA,"Pasadena, CA",34.1477849,-118.1445155
747,Culver City,CA,"Culver City, CA",34.0211224,-118.3964665
748,Mount Shasta,CA,"Mount Shasta, CA",41.3098746,-122.3105666
749,San Francisco,CA,"San Francisco, CA",37.7749295,-122.4194155
750,St Helena,CA,"St Helena, CA",38.5052429,-122.4703868
751,Danville,CA,"Danville, CA",37.8215929,-121.9999606
752,Pleasanton,CA,"Pleasanton, CA",37.6624312,-121.8746789
753,Visalia,CA,"Visalia, CA",36.3302284,-119.2920585
754,Chino,CA,"Chino, CA",34.0122346,-117.688944
755,King City,CA,"King City, CA",36.2127439,-121.1260287
756,Groveland,CA,"Groveland, CA",37.8388779,-120.2308167
757,Lodi,CA,"Lodi, CA",38.1341477,-121.2722194
758,Placerville,CA,"Placerville, CA",38.7296252,-120.798546
759,Yreka,CA,"Yreka, CA",41.7354186,-122.6344709
760,Gualala,CA,"Gualala, CA",38.7722996,-123.5340084
761,Clovis,CA,"Clovis, CA",36.8252277,-119.7029194
762,Hanford,CA,"Hanford, CA",36.3274502,-119.6456844
763,Twenty-Nine Palms,CA,"Twenty-Nine Palms, CA",34.1355582,-116.0541689
764,Hollywood,CA,"Hollywood, CA",34.0928092,-118.3286614
765,Oroville,CA,"Oroville, CA",39.5137752,-121.556359
766,El Dorado Hills,CA,"El Dorado Hills, CA",38.6857367,-121.082167
767,Los Angeles,CA,"Los Angeles, CA",34.0522342,-118.2436849
768,Carlsbad,CA,"Carlsbad, CA",33.1580933,-117.3505939
769,Denver,CA,"Denver, CA",39.7392358,-104.990251
770,Yucca Valley,CA,"Yucca Valley, CA",34.1141743,-116.432235
771,Monterey,CA,"Monterey, CA",36.6002378,-121.8946761
772,Campbell,CA,"Campbell, CA",37.2871651,-121.9499568
773,Sonoma,CA,"Sonoma, CA",38.291859,-122.4580356
774,Brentwood,CA,"Brentwood, CA",37.931868,-121.6957863
775,Claremont,CA,"Claremont, CA",34.0966764,-117.7197785
776,La Canada,CA,"La Canada, CA",34.2068182,-118.2000277
777,Pacifica,CA,"Pacifica, CA",37.6138253,-122.4869194
778,Selma,CA,"Selma, CA",36.5707838,-119.6120765
779,Scotts Valley,CA,"Scotts Valley, CA",37.0510595,-122.0146841
780,Carpinteria,CA,"Carpinteria, CA",34.39888380000001,-119.5184564
781,Whittier,CA,"Whittier, CA",33.9791793,-118.032844
782,Long Beach,CA,"Long Beach, CA",33.7700504,-118.1937395
783,Arroyo Grande,CA,"Arroyo Grande, CA",35.1185868,-120.5907252
784,Santa Cruz,CA,"Santa Cruz, CA",36.9741171,-122.0307963
785,San Luis Obispo,CA,"San Luis Obispo, CA",35.2827524,-120.6596156
786,Chula Vista,CA,"Chula Vista, CA",32.6400541,-117.0841955
787,Grass Valley,CA,"Grass Valley, CA",39.2190608,-121.0610606
788,Agoura,CA,"Agoura, CA",34.1430611,-118.7378669
789,Calexico,CA,"Calexico, CA",32.6789476,-115.4988834
790,Big Bear Lake,CA,"Big Bear Lake, CA",34.2438963,-116.9114215
791,Barstow,CA,"Barstow, CA",34.8957957,-117.0172826
792,Glendora,CA,"Glendora, CA",34.1361187,-117.865339
793,Lake Arrowhead,CA,"Lake Arrowhead, CA",34.2483396,-117.1892078
794,McAllen,CA,"McAllen, CA",35.553119,-120.720899
795,Menlo Park,CA,"Menlo Park, CA",37.4529598,-122.1817252
796,Fallbrook,CA,"Fallbrook, CA",33.3764196,-117.2511466
797,San Diego,CA,"San Diego, CA",32.715738,-117.1610838
798,Imperial,CA,"Imperial, CA",32.8475528,-115.5694391
799,Merced,CA,"Merced, CA",37.3021632,-120.4829677
800,Holtville,CA,"Holtville, CA",32.8111612,-115.3802643
801,Buena Park,CA,"Buena Park, CA",33.8674044,-117.9981387
802,Poway,CA,"Poway, CA",32.9628232,-117.0358646
803,Novato,CA,"Novato, CA",38.1074198,-122.5697032
804,Glendale,CA,"Glendale, CA",34.1425078,-118.255075
805,Sonora,CA,"Sonora, CA",37.9829496,-120.3821724
806,Napa,CA,"Napa, CA",38.2975381,-122.286865
807,Mendocino,CA,"Mendocino, CA",39.3076744,-123.7994591
808,Malibu,CA,"Malibu, CA",34.0259216,-118.7797571
809,Woodland Hills,CA,"Woodland Hills, CA",34.165357,-118.6089752
810,El Cerrito,CA,"El Cerrito, CA",37.9161326,-122.310765
811,Huntington Beach,CA,"Huntington Beach, CA",33.6594835,-117.9988026
812,Oakland,CA,"Oakland, CA",37.8043637,-122.2711137
813,Antioch,CA,"Antioch, CA",38.0049214,-121.805789
814,Chico,CA,"Chico, CA",39.7284944,-121.8374777
815,La Mesa,CA,"La Mesa, CA",32.7678287,-117.0230839
816,Centerville,IA,"Centerville, IA",40.7290565,-92.8738196
817,Atlantic,IA,"Atlantic, IA",41.4036007,-95.0138776
818,Fairfield,IA,"Fairfield, IA",41.00761139999999,-91.9636914
819,Munster,IA,"Munster, IA",41.5644798,-87.5125412
820,Sioux City,IA,"Sioux City, IA",42.4963416,-96.40494079999999
821,Cedar Rapids,IA,"Cedar Rapids, IA",41.9778795,-91.6656232
822,Ackley,IA,"Ackley, IA",42.55553400000001,-93.0529775
823,Dubuque,IA,"Dubuque, IA",42.5005583,-90.66457179999999
824,Fort Dodge,IA,"Fort Dodge, IA",42.4974694,-94.16801579999999
825,Bloomfield,IA,"Bloomfield, IA",40.75168840000001,-92.41490739999999
826,Clear Lake,IA,"Clear Lake, IA",43.1435564,-93.3788108
827,Des Moines,IA,"Des Moines, IA",41.6005448,-93.6091064
